configuration,seed,energy,feasible,interventions,geometry_acquisitions,source
lambda_0.0005,14003,96.19455612753518,True,11,0,illustrative
lambda_0.0005,14004,84.31638859887607,True,11,0,illustrative
lambda_0.0005,14005,79.27732472587377,True,10,1,illustrative
lambda_0.0005,14006,81.36460315482691,True,12,0,illustrative
lambda_0.0005,14007,88.11590704473201,True,11,0,illustrative
lambda_0.0005,14008,103.91358091472648,True,12,0,illustrative
lambda_0.0005,14009,72.47586869483348,True,11,0,illustrative
lambda_0.0005,14010,32.420576504664496,True,10,0,illustrative
lambda_0.0005,14011,121.25121961417608,True,11,0,illustrative
lambda_0.0005,14012,102.47510781919118,True,11,0,illustrative
lambda_0.0005,14013,105.21807907207403,True,12,0,illustrative
lambda_0.0005,14014,94.59497035876848,True,12,0,illustrative
lambda_0.0005,14015,98.05127713503316,True,11,0,illustrative
lambda_0.0005,14016,113.15132730035111,True,11,0,illustrative
lambda_0.0005,14017,98.64036080357619,True,10,0,illustrative
lambda_0.0005,14018,64.1380832188297,True,12,0,illustrative
lambda_0.0005,14019,103.88140392774949,True,11,0,illustrative
lambda_0.001,15000,103.27451946970541,True,11,0,illustrative
lambda_0.001,15001,81.76625917106867,True,12,0,illustrative
lambda_0.001,15002,105.04795405763434,True,11,0,illustrative
lambda_0.001,15003,99.79084788355976,True,11,0,illustrative
lambda_0.001,15004,34.38726306974422,True,10,2,illustrative
lambda_0.001,15005,96.12471571133938,True,11,0,illustrative
lambda_0.001,15006,106.29698944633128,True,11,1,illustrative
lambda_0.001,15007,107.05913323746063,True,12,0,illustrative
lambda_0.001,15008,70.64564024109859,True,11,1,illustrative
lambda_0.001,15009,40.424519381369464,True,11,0,illustrative
lambda_0.001,15010,119.03666826256085,True,12,0,illustrative
lambda_0.001,15011,95.12526580877602,True,11,0,illustrative
lambda_0.001,15012,83.24018965382129,True,11,0,illustrative
lambda_0.001,15013,129.9953545985045,True,12,0,illustrative
lambda_0.001,15014,99.72763401502743,True,11,0,illustrative
lambda_0.001,15015,68.39408623718191,True,11,0,illustrative
lambda_0.001,15016,115.24474525230471,True,11,0,illustrative
lambda_0.001,15017,116.40952855459182,True,11,0,illustrative
lambda_0.001,15018,124.29971304675564,True,12,0,illustrative
lambda_0.001,15019,108.32109724741895,True,10,0,illustrative
lambda_0.005,16000,111.29286628006957,True,11,1,illustrative
lambda_0.005,16001,111.32756329840049,True,12,1,illustrative
lambda_0.005,16002,68.33374934701715,True,12,3,illustrative
lambda_0.005,16003,75.42962640308542,True,11,1,illustrative
lambda_0.005,16004,62.31738136289641,True,11,1,illustrative
lambda_0.005,16005,64.89326399727724,True,10,2,illustrative
lambda_0.005,16006,104.93776575487573,True,11,1,illustrative
lambda_0.005,16007,110.4426936476957,True,10,2,illustrative
lambda_0.005,16008,57.58119043963961,True,12,2,illustrative
lambda_0.005,16009,111.08863305742852,True,11,0,illustrative
lambda_0.005,16010,108.19267712021247,True,12,2,illustrative
lambda_0.005,16011,130.21907148638275,True,12,0,illustrative
lambda_0.005,16012,61.26931342785247,True,10,0,illustrative
lambda_0.005,16013,61.30282109917607,True,11,0,illustrative
lambda_0.005,16014,96.68315430288203,True,11,2,illustrative
lambda_0.005,16015,112.38004682422616,True,11,1,illustrative
lambda_0.005,16016,114.8262428813614,True,11,1,illustrative
lambda_0.005,16017,117.67232054728083,True,11,1,illustrative
lambda_0.005,16018,90.3924526963383,True,11,2,illustrative
lambda_0.005,16019,92.89520931977313,True,12,1,illustrative
lambda_0.01,17000,84.23922711750492,True,11,4,illustrative
lambda_0.01,17001,80.54806170635857,True,10,4,illustrative
lambda_0.01,17002,60.86739715351723,True,10,2,illustrative
lambda_0.01,17003,76.63608361099614,True,10,3,illustrative
lambda_0.01,17004,104.6491421078681,True,10,2,illustrative
lambda_0.01,17005,62.684906016569585,True,11,2,illustrative
lambda_0.01,17006,98.6741515477188,True,10,2,illustrative
lambda_0.01,17007,88.92048525728751,True,11,3,illustrative
lambda_0.01,17008,110.85167461168021,True,11,4,illustrative
lambda_0.01,17009,78.35258338437416,True,11,2,illustrative
lambda_0.01,17010,68.80032442323864,True,10,3,illustrative
lambda_0.01,17011,103.01239423837978,True,11,2,illustrative
lambda_0.01,17012,60.36137161555234,True,11,2,illustrative
lambda_0.01,17013,93.70037708233576,True,12,2,illustrative
lambda_0.01,17014,114.6371516182553,True,11,2,illustrative
lambda_0.01,17015,113.56695487414254,True,11,3,illustrative
lambda_0.01,17016,60.61052307207137,True,11,3,illustrative
lambda_0.01,17017,84.80824736156501,True,11,3,illustrative
lambda_0.01,17018,116.23523991223192,True,10,1,illustrative
lambda_0.01,17019,103.39803506876342,True,10,2,illustrative
point_estimate,18000,27.274699370842427,True,11,0,illustrative
point_estimate,18001,117.88933007745072,True,12,0,illustrative
point_estimate,18002,98.75530433107633,True,11,0,illustrative
point_estimate,18003,51.55895575287286,True,11,0,illustrative
point_estimate,18004,70.62881236185785,True,12,0,illustrative
point_estimate,18005,110.89372726075817,True,11,0,illustrative
point_estimate,18006,37.02682440727949,True,10,0,illustrative
point_estimate,18007,117.38051580020692,True,11,0,illustrative
point_estimate,18008,139.67680711887078,True,12,0,illustrative
point_estimate,18009,79.07448638684582,True,11,0,illustrative
point_estimate,18010,79.93555554922204,True,11,0,illustrative
point_estimate,18011,104.49860975437332,True,12,0,illustrative
point_estimate,18012,60.93120096391067,True,11,0,illustrative
point_estimate,18013,86.3360283965012,True,11,0,illustrative
point_estimate,18014,74.13567344436888,True,11,0,illustrative
point_estimate,18015,86.17019445507322,True,12,0,illustrative
point_estimate,18016,57.49975287995767,True,11,0,illustrative
point_estimate,18017,116.58628672920167,True,12,0,illustrative
point_estimate,18018,101.8540574075887,True,11,0,illustrative
point_estimate,18019,103.1158697627252,True,11,0,illustrative
no_initial_geometry_acquisition_allowed,19000,69.9821767245885,True,11,0,illustrative
no_initial_geometry_acquisition_allowed,19001,59.835973156034015,True,10,0,illustrative
no_initial_geometry_acquisition_allowed,19002,108.18398696288932,True,11,1,illustrative
no_initial_geometry_acquisition_allowed,19003,120.15692696010228,True,12,1,illustrative
no_initial_geometry_acquisition_allowed,19004,109.44985459430609,True,10,0,illustrative
no_initial_geometry_acquisition_allowed,19005,74.18098742573056,True,11,1,illustrative
no_initial_geometry_acquisition_allowed,19006,122.67852066655178,True,12,0,illustrative
no_initial_geometry_acquisition_allowed,19007,114.37016947718803,True,11,1,illustrative
no_initial_geometry_acquisition_allowed,19008,96.45828693953808,True,11,1,illustrative
no_initial_geometry_acquisition_allowed,19009,113.47415818995796,True,12,0,illustrative
no_initial_geometry_acquisition_allowed,19010,128.74727485817857,True,12,1,illustrative
no_initial_geometry_acquisition_allowed,19011,84.80191023135558,True,12,2,illustrative
no_initial_geometry_acquisition_allowed,19012,134.88758637948195,True,11,0,illustrative
no_initial_geometry_acquisition_allowed,19013,118.61218691943213,True,12,0,illustrative
no_initial_geometry_acquisition_allowed,19014,95.13321344653377,True,10,0,illustrative
no_initial_geometry_acquisition_allowed,19015,95.19679107662523,True,10,0,illustrative
no_initial_geometry_acquisition_allowed,19016,102.18101380986627,True,11,2,illustrative
no_initial_geometry_acquisition_allowed,19017,102.66918120870832,True,11,1,illustrative
no_initial_geometry_acquisition_allowed,19018,132.37226189835928,True,12,0,illustrative
no_initial_geometry_acquisition_allowed,19019,60.043641326599754,True,11,0,illustrative
no_interactions,20000,95.00149897724623,True,11,0,illustrative
no_interactions,20001,70.92096948288963,True,11,1,illustrative
no_interactions,20002,83.41825701494236,True,11,2,illustrative
no_interactions,20003,90.38838766067056,True,11,1,illustrative
no_interactions,20004,16.20086391986115,True,10,2,illustrative
no_interactions,20005,138.568813904305,True,12,1,illustrative
no_interactions,20006,113.44675938322325,True,11,0,illustrative
no_interactions,20007,108.7181394926738,True,11,0,illustrative
no_interactions,20008,58.713259833923075,True,11,1,illustrative
no_interactions,20009,92.88242501649074,True,11,0,illustrative
no_interactions,20010,81.21100895834388,True,11,0,illustrative
no_interactions,20011,127.61951453384245,True,11,0,illustrative
no_interactions,20012,118.64698543772101,True,12,0,illustrative
no_interactions,20013,103.03080788470106,True,10,0,illustrative
no_interactions,20014,84.4559933799319,True,11,1,illustrative
no_interactions,20015,73.7903668183717,True,11,1,illustrative
no_interactions,20016,84.998898188991,True,12,0,illustrative
no_interactions,20017,92.85763094801223,True,11,0,illustrative
no_interactions,20018,44.031764428073075,True,11,0,illustrative
no_interactions,20019,105.86541135830339,True,11,1,illustrative
flat_prior_main,21000,57.2329893107526,True,10,0,illustrative
flat_prior_main,21001,76.78426075913012,True,11,2,illustrative
flat_prior_main,21002,63.68833385291509,True,12,2,illustrative
flat_prior_main,21003,44.628236246993765,True,10,3,illustrative
flat_prior_main,21004,54.577130437712185,True,12,2,illustrative
flat_prior_main,21005,79.50021836720407,True,11,1,illustrative
flat_prior_main,21006,81.16142258723266,True,12,1,illustrative
flat_prior_main,21007,35.9817073578015,True,10,2,illustrative
flat_prior_main,21008,46.708626827341504,True,11,2,illustrative
flat_prior_main,21009,80.9205833086744,True,12,1,illustrative
flat_prior_main,21010,46.67178654810414,True,10,1,illustrative
flat_prior_main,21011,73.00803446746431,True,12,1,illustrative
flat_prior_main,21012,73.83866235450841,True,12,1,illustrative
flat_prior_main,21013,102.4574779451359,True,11,0,illustrative
flat_prior_main,21014,79.87705230992287,True,10,1,illustrative
flat_prior_main,21015,101.92027178371791,True,12,1,illustrative
flat_prior_main,21016,108.60373715613969,True,12,0,illustrative
flat_prior_main,21017,61.61041887081228,True,11,2,illustrative
flat_prior_main,21018,53.098828092450276,True,10,2,illustrative
flat_prior_main,21019,90.42431106371805,True,11,0,illustrative
dense_sparse_prior_main,22000,20.075302629731596,True,12,1,illustrative
dense_sparse_prior_main,22001,15.89340822561644,True,12,3,illustrative
dense_sparse_prior_main,22002,65.53554837498814,True,12,1,illustrative
dense_sparse_prior_main,22003,14.224718915298581,True,11,1,illustrative
dense_sparse_prior_main,22004,-45.237070500385016,True,12,3,illustrative
dense_sparse_prior_main,22005,-5.674852694151923,True,12,1,illustrative
dense_sparse_prior_main,22006,87.94264266244136,True,12,1,illustrative
dense_sparse_prior_main,22007,49.566559702856466,True,12,0,illustrative
dense_sparse_prior_main,22008,-13.229431019630283,True,12,2,illustrative
dense_sparse_prior_main,22009,-59.53617154620588,True,11,1,illustrative
dense_sparse_prior_main,22010,51.656555806519464,True,12,1,illustrative
dense_sparse_prior_main,22011,117.86182196880691,True,12,1,illustrative
dense_sparse_prior_main,22012,20.803873654454947,True,11,0,illustrative
dense_sparse_prior_main,22013,41.63881673454307,True,12,0,illustrative
dense_sparse_prior_main,22014,8.7977164122276,True,11,2,illustrative
dense_sparse_prior_main,22015,14.485098845558241,True,12,1,illustrative
dense_sparse_prior_main,22016,21.73833771678619,True,12,1,illustrative
dense_sparse_prior_main,22017,-34.529038595966995,True,11,2,illustrative
dense_sparse_prior_main,22018,-5.540225205942988,True,11,2,illustrative
dense_sparse_prior_main,22019,-62.590620160801336,True,12,2,illustrative
dense_flat_prior_main,23000,51.891505545470864,True,12,3,illustrative
dense_flat_prior_main,23001,86.38713910779916,True,12,1,illustrative
dense_flat_prior_main,23002,57.694118855986744,True,12,2,illustrative
dense_flat_prior_main,23003,48.491337147541344,True,12,2,illustrative
dense_flat_prior_main,23004,9.374570024199784,True,12,2,illustrative
dense_flat_prior_main,23005,-89.82372322492301,True,12,4,illustrative
dense_flat_prior_main,23006,16.62636585975997,True,12,2,illustrative
dense_flat_prior_main,23007,18.47294717771001,True,12,3,illustrative
dense_flat_prior_main,23008,1.2375741731375456,True,12,4,illustrative
dense_flat_prior_main,23009,7.666403932496905,True,12,5,illustrative
dense_flat_prior_main,23010,20.403821445070207,True,12,2,illustrative
dense_flat_prior_main,23011,101.30856426781975,True,12,3,illustrative
dense_flat_prior_main,23012,35.74245703127235,True,12,4,illustrative
dense_flat_prior_main,23013,1.728524686768651,True,12,3,illustrative
dense_flat_prior_main,23014,-2.2808933341875672,True,12,3,illustrative
dense_flat_prior_main,23015,14.675958266016096,True,12,3,illustrative
dense_flat_prior_main,23016,63.42213823646307,True,12,3,illustrative
dense_flat_prior_main,23017,42.26389238703996,True,12,2,illustrative
dense_flat_prior_main,23018,47.22673903265968,True,12,2,illustrative
dense_flat_prior_main,23019,28.67807965259999,True,12,5,illustrative
lambda_0.002,12000,38.377711978158914,True,10,0,illustrative
lambda_0.002,12001,100.60424095508642,True,12,0,illustrative
lambda_0.002,12002,89.72666281322017,True,11,1,illustrative
lambda_0.002,12003,100.81192417163402,True,11,0,illustrative
lambda_0.002,12004,73.46740600885823,True,11,0,illustrative
lambda_0.002,12005,42.843973852926865,True,11,0,illustrative
lambda_0.002,12006,69.17733385344036,True,11,2,illustrative
lambda_0.002,12007,105.98872771847527,True,11,0,illustrative
lambda_0.002,12008,77.67602555430494,True,12,1,illustrative
lambda_0.002,12009,135.286499060574,True,11,0,illustrative
lambda_0.002,12010,81.69744624395389,True,10,0,illustrative
lambda_0.002,12011,114.24809051328339,True,12,0,illustrative
lambda_0.002,12012,104.66835677530617,True,11,0,illustrative
lambda_0.002,12013,76.1709912661463,True,11,1,illustrative
lambda_0.002,12014,69.81148310587741,True,10,0,illustrative
lambda_0.002,12015,107.32576465059537,True,11,0,illustrative
lambda_0.002,12016,101.45798601419665,True,11,0,illustrative
lambda_0.002,12017,56.62952503468841,True,11,0,illustrative
lambda_0.002,12018,96.73070274945349,True,11,1,illustrative
lambda_0.002,12019,49.8361945283832,True,10,2,illustrative
